Category ID,Category Name,Category Label,osm_class,osm_type
63be6904847c3692a84b9bca,"Ear, Nose and Throat Doctor","Health and Medicine > Physician > Ear, Nose and Throat Doctor",amenity,doctors
63be6904847c3692a84b9bcb,Family Medicine Doctor,Health and Medicine > Physician > Family Medicine Doctor,amenity,doctors
63be6904847c3692a84b9bcc,Gastroenterologist,Health and Medicine > Physician > Gastroenterologist,amenity,doctors
63be6904847c3692a84b9bcd,General Surgeon,Health and Medicine > Physician > General Surgeon,amenity,doctors
63be6904847c3692a84b9bce,Geriatric Doctor,Health and Medicine > Physician > Geriatric Doctor,amenity,doctors
63be6904847c3692a84b9bcf,Internal Medicine Doctor,Health and Medicine > Physician > Internal Medicine Doctor,amenity,doctors
63be6904847c3692a84b9bd0,Neurologist,Health and Medicine > Physician > Neurologist,amenity,doctors
63be6904847c3692a84b9bd1,Obstetrician Gynecologist (Ob-gyn),Health and Medicine > Physician > Obstetrician Gynecologist (Ob-gyn),amenity,doctors
63be6904847c3692a84b9bd2,Oncologist,Health and Medicine > Physician > Oncologist,amenity,doctors
63be6904847c3692a84b9bd3,Ophthalmologist,Health and Medicine > Physician > Ophthalmologist,amenity,doctors
63be6904847c3692a84b9bd4,Oral Surgeon,Health and Medicine > Physician > Oral Surgeon,amenity,doctors
63be6904847c3692a84b9bd5,Orthopedic Surgeon,Health and Medicine > Physician > Orthopedic Surgeon,amenity,doctors
63be6904847c3692a84b9bd6,Pathologist,Health and Medicine > Physician > Pathologist,amenity,doctors
63be6904847c3692a84b9bd7,Pediatrician,Health and Medicine > Physician > Pediatrician,amenity,doctors
63be6904847c3692a84b9bd8,Plastic Surgeon,Health and Medicine > Physician > Plastic Surgeon,amenity,doctors
63be6904847c3692a84b9bd9,Psychiatrist,Health and Medicine > Physician > Psychiatrist,amenity,doctors
63be6904847c3692a84b9bda,Radiologist,Health and Medicine > Physician > Radiologist,amenity,doctors
63be6904847c3692a84b9bdb,Respiratory Doctor,Health and Medicine > Physician > Respiratory Doctor,amenity,doctors
63be6904847c3692a84b9bdc,Urologist,Health and Medicine > Physician > Urologist,amenity,doctors
63be6904847c3692a84b9bdd,Podiatrist,Health and Medicine > Podiatrist,healthcare,podiatrist
